State,total_sales,total_profit
California,457687.63,76381.39
New York,310876.27,74038.55
Washington,138641.27,33402.65
Michigan,76269.61,24463.19
Virginia,70636.72,18597.95
Indiana,53555.36,18382.94
Georgia,49095.84,16250.04
Kentucky,36591.75,11199.7
Minnesota,29863.15,10823.19
Delaware,27451.07,9977.37
New Jersey,35764.31,9772.91
Wisconsin,32114.61,8401.8
Rhode Island,22627.96,7285.63
Maryland,23705.52,7031.18
Massachusetts,28634.43,6785.5
Missouri,22205.15,6436.21
Alabama,19510.64,5786.83
Oklahoma,19683.39,4853.96
Arkansas,11678.13,4008.69
Connecticut,13384.36,3511.49
Nevada,16729.1,3316.77
Mississippi,10771.34,3172.98
Utah,11220.06,2546.53
Vermont,8929.37,2244.98
Louisiana,9217.03,2196.1
Nebraska,7464.93,2037.09
Montana,5589.35,1833.33
South Carolina,8481.71,1769.06
New Hampshire,7292.52,1706.5
Iowa,4579.76,1183.81
New Mexico,4783.52,1157.12
District of Columbia,2865.02,1059.59
Kansas,2914.31,836.44
Idaho,4382.49,826.72
Maine,1270.53,454.49
South Dakota,1315.56,394.83
North Dakota,919.91,230.15
West Virginia,1209.82,185.92
Wyoming,1603.14,100.2
Oregon,17431.15,-1190.47
Florida,89473.71,-3399.3
Arizona,35282.0,-3427.92
Tennessee,30661.87,-5341.69
Colorado,32108.12,-6527.86
North Carolina,55603.16,-7490.91
Illinois,80166.1,-12607.89
Pennsylvania,116511.91,-15559.96
Ohio,78258.14,-16971.38
Texas,170188.05,-25729.36
